Delft
 52.00828      4.364573      1             1 

 y, m, dm, h, Az, hs,G_Gh,G_Dh,G_Bn, Ta, Ts, FF, DD, p,N,G_Gk
 2005, 1, 1, 1,-172.4, 0.0,0,0,0,9.3,7.4,3.1,218,1011,8,0
 2005, 1, 1, 2,-159.2, 0.0,0,0,0,9.4,7.3,2.8,252,1011,8,0
 2005, 1, 1, 3,-135.2, 0.0,0,0,0,9.2,7.0,2.5,249,1011,8,0
 2005, 1, 1, 4,-116.5, 0.0,0,0,0,9.0,7.0,2.8,265,1011,8,0
 2005, 1, 1, 5,-102.0, 0.0,0,0,0,8.9,6.9,2.7,263,1011,8,0
 2005, 1, 1, 6,-89.3, 0.0,0,0,0,8.8,6.8,2.9,252,1011,8,0
 2005, 1, 1, 7,-78.1, 0.0,0,0,0,8.8,6.6,2.6,276,1011,8,0
 2005, 1, 1, 8,-67.1, 0.0,0,0,0,8.7,6.8,3.2,237,1011,8,0
 2005, 1, 1, 9,-55.5, 0.0,0,0,0,8.7,6.7,2.9,214,1011,8,0
 2005, 1, 1, 10,-43.6,3.7,20,20,0,9.1,8.8,4.4,298,1011,8,20
 2005, 1, 1, 11,-31.2,9.3,51,51,0,9.7,9.6,3.8,185,1011,8,51
 2005, 1, 1, 12,-17.5,13.1,74,74,0,10.2,10.3,3.8,226,1011,8,74
 2005, 1, 1, 13,-3.4,14.9,88,88,0,10.6,10.9,4.2,235,1011,8,88
 2005, 1, 1, 14,10.3,14.3,96,94,8,11.0,11.3,4.4,148,1011,8,96
 2005, 1, 1, 15,24.3,11.5,70,70,0,11.1,11.2,4.0,190,1011,8,70
 2005, 1, 1, 16,37.3,6.8,34,34,0,10.9,10.7,5.4,221,1011,8,34
 2005, 1, 1, 17,49.5,0.4,1,1,0,10.5,10.0,4.2,126,1011,8,1
 2005, 1, 1, 18,61.2, 0.0,0,0,0,10.2,8.8,4.6,200,1011,8,0
 2005, 1, 1, 19,72.3, 0.0,0,0,0,9.8,8.2,4.0,187,1011,8,0
 2005, 1, 1, 20,83.4, 0.0,0,0,0,9.5,8.0,4.2,236,1011,8,0
 2005, 1, 1, 21,95.2, 0.0,0,0,0,9.2,7.7,4.2,249,1011,8,0
 2005, 1, 1, 22,108.5, 0.0,0,0,0,8.9,7.1,3.4,210,1011,8,0
 2005, 1, 1, 23,125.1, 0.0,0,0,0,8.5,6.6,2.9,265,1011,8,0
 2005, 1, 1, 24,146.1, 0.0,0,0,0,8.2,6.1,2.7,216,1011,8,0
 2005, 1, 2, 1,-172.3, 0.0,0,0,0,7.8,5.8,2.8,247,1011,8,0
 2005, 1, 2, 2,-159.3, 0.0,0,0,0,7.2,5.6,4.0,220,1011,8,0
 2005, 1, 2, 3,-135.3, 0.0,0,0,0,6.9,5.7,5.1,235,1011,8,0
 2005, 1, 2, 4,-116.6, 0.0,0,0,0,6.7,5.4,4.8,155,1011,8,0
 2005, 1, 2, 5,-102.1, 0.0,0,0,0,6.4,5.3,5.6,187,1011,8,0
 2005, 1, 2, 6,-89.4, 0.0,0,0,0,6.2,4.9,4.8,125,1011,8,0
 2005, 1, 2, 7,-78.2, 0.0,0,0,0,6.0,4.8,5.4,187,1011,8,0
 2005, 1, 2, 8,-67.2, 0.0,0,0,0,5.8,4.2,3.7,164,1011,8,0
 2005, 1, 2, 9,-55.6, 0.0,0,0,0,5.8,4.2,4.0,219,1011,8,0
 2005, 1, 2, 10,-44.1,3.7,15,15,0,6.0,5.6,3.8,226,1011,8,15
 2005, 1, 2, 11,-31.3,9.3,43,43,0,6.3,6.2,4.2,192,1011,8,43
 2005, 1, 2, 12,-17.6,13.2,68,68,0,6.7,6.8,3.5,256,1011,8,68
 2005, 1, 2, 13,-3.5,14.9,79,79,0,6.9,7.1,4.4,266,1011,8,79
 2005, 1, 2, 14,10.3,14.4,77,77,0,7.1,7.2,4.8,196,1011,8,77
 2005, 1, 2, 15,24.2,11.6,58,58,0,7.1,7.1,3.8,195,1011,8,58
 2005, 1, 2, 16,37.3,6.9,29,29,0,6.9,6.7,4.6,202,1011,8,29
 2005, 1, 2, 17,49.5,0.5,1,1,0,6.6,6.1,4.0,201,1011,8,1
 2005, 1, 2, 18,61.2, 0.0,0,0,0,6.4,4.9,4.2,231,1011,8,0
 2005, 1, 2, 19,72.3, 0.0,0,0,0,6.2,4.3,3.2,242,1011,8,0
 2005, 1, 2, 20,83.3, 0.0,0,0,0,6.0,3.9,2.8,258,1011,8,0
 2005, 1, 2, 21,95.2, 0.0,0,0,0,5.9,3.7,2.5,243,1011,8,0
 2005, 1, 2, 22,108.5, 0.0,0,0,0,5.7,3.3,2.1,290,1011,8,0
 2005, 1, 2, 23,125.0, 0.0,0,0,0,5.4,2.7,1.5,267,1011,8,0
 2005, 1, 2, 24,146.1, 0.0,0,0,0,4.9,1.9,1.0,323,1011,8,0
 2005, 1, 3, 1,-172.2, 0.0,0,0,0,5.4,2.2,0.7,299,1011,8,0
 2005, 1, 3, 2,-159.5, 0.0,0,0,0,5.4,2.1,0.6,305,1011,8,0
 2005, 1, 3, 3,-135.5, 0.0,0,0,0,5.4,2.4,1.0,302,1011,8,0
 2005, 1, 3, 4,-117.1, 0.0,0,0,0,5.4,2.1,0.7,306,1011,8,0
 2005, 1, 3, 5,-102.2, 0.0,0,0,0,5.5,2.3,0.8,309,1011,8,0
 2005, 1, 3, 6,-89.5, 0.0,0,0,0,5.6,2.3,0.6,306,1011,8,0
 2005, 1, 3, 7,-78.3, 0.0,0,0,0,5.6,2.5,0.8,308,1011,8,0
 2005, 1, 3, 8,-67.2, 0.0,0,0,0,5.7,2.6,1.0,300,1011,8,0
 2005, 1, 3, 9,-56.1, 0.0,0,0,0,5.7,2.7,1.1,306,1011,8,0
 2005, 1, 3, 10,-44.2,3.7,15,15,0,6.1,5.6,1.3,282,1011,8,15
 2005, 1, 3, 11,-31.3,9.4,42,42,0,6.8,6.7,2.1,283,1011,8,42
 2005, 1, 3, 12,-18.0,13.3,65,65,0,7.5,7.6,2.2,250,1011,8,65
 2005, 1, 3, 13,-3.5,15.0,77,77,0,8.0,8.2,2.5,270,1011,8,77
 2005, 1, 3, 14,10.2,14.5,74,74,0,8.4,8.6,2.3,194,1011,8,74
 2005, 1, 3, 15,24.2,11.7,57,57,0,8.5,8.5,1.8,280,1011,8,57
 2005, 1, 3, 16,37.3,7.0,28,28,0,8.3,8.0,2.1,249,1011,8,28
 2005, 1, 3, 17,49.4,0.7,1,1,0,7.9,7.4,3.0,277,1011,8,1
 2005, 1, 3, 18,61.2, 0.0,0,0,0,7.7,6.1,4.0,204,1011,8,0
 2005, 1, 3, 19,72.2, 0.0,0,0,0,7.5,5.9,4.0,75,1011,8,0
 2005, 1, 3, 20,83.3, 0.0,0,0,0,7.2,5.4,3.4,112,1011,8,0
 2005, 1, 3, 21,95.2, 0.0,0,0,0,7.0,5.2,3.4,194,1011,8,0
 2005, 1, 3, 22,108.4, 0.0,0,0,0,6.5,4.9,3.8,178,1011,8,0
 2005, 1, 3, 23,125.0, 0.0,0,0,0,6.4,4.7,3.7,175,1011,8,0
 2005, 1, 3, 24,145.6, 0.0,0,0,0,5.7,4.0,3.8,160,1011,8,0
 2005, 1, 4, 1,-172.0, 0.0,0,0,0,5.8,4.2,3.7,188,1011,8,0
 2005, 1, 4, 2,-160.0, 0.0,0,0,0,5.4,3.7,3.7,195,1012,8,0
