Az,hs,FF,Ta,G_Bn,G_Dh,G_Gh
-12.6,0.0,0.2,28.8,0,0,0
-57.5,0.0,0.2,28.0,0,0,0
-68.2,0.0,0.4,27.3,0,0,0
-71.0,0.0,0.4,26.9,0,0,0
-71.0,0.0,0.1,26.5,0,0,0
-69.4,0.0,0.1,26.2,0,0,0
-67.0,0.0,0.1,26.2,0,1,1
-63.1,10.0,0.2,27.1,327,57,114
-57.2,22.6,0.3,28.5,421,140,302
-49.0,34.3,0.6,30.4,757,144,570
-36.4,44.3,0.9,31.8,621,218,652
-18.5,51.2,1.0,32.9,652,227,735
3.3,53.1,1.3,33.7,583,277,744
24.6,49.5,1.3,34.3,445,318,656
41.0,41.5,1.5,34.3,273,317,497
51.6,30.8,1.5,33.5,86,238,283
59.2,18.8,1.5,32.8,32,133,143
64.3,5.9,1.3,31.7,0,22,22
67.6,0.0,0.9,31.1,0,0,0
70.1,0.0,0.7,30.4,0,0,0
71.1,0.0,0.4,29.7,0,0,0
70.3,0.0,0.3,29.1,0,0,0
66.2,0.0,0.2,28.4,0,0,0
50.2,0.0,0.2,27.7,0,0,0
-12.3,0.0,0.1,27.2,0,0,0
-57.5,0.0,0.3,26.7,0,0,0
-68.2,0.0,0.6,26.1,0,0,0
-71.1,0.0,0.6,25.8,0,0,0
-71.1,0.0,0.3,25.5,0,0,0
-69.5,0.0,0.2,25.3,0,0,0
-67.1,0.0,0.3,25.3,0,1,1
-63.1,9.9,0.3,26.6,291,77,127
-57.3,22.6,0.3,27.6,135,173,225
-49.1,34.3,0.6,28.6,98,285,340
-36.5,44.3,0.9,29.9,251,338,513
-18.6,51.2,1.0,30.7,141,382,492
3.2,53.2,1.3,31.7,308,387,633
24.5,49.6,1.3,32.7,675,245,759
41.0,41.6,1.3,33.0,365,298,540
51.6,31.0,1.5,33.0,678,130,479
59.2,18.9,1.3,32.7,473,123,276
64.3,6.0,1.3,31.7,0,31,31
68.0,0.0,0.7,31.0,0,0,0
70.2,0.0,0.5,30.3,0,0,0
71.2,0.0,0.2,29.5,0,0,0
70.4,0.0,0.1,28.8,0,0,0
66.3,0.0,0.0,28.1,0,0,0
50.5,0.0,0.0,27.4,0,0,0
-11.6,0.0,0.0,26.7,0,0,0
-58.0,0.0,0.0,26.1,0,0,0
-68.3,0.0,0.1,25.4,0,0,0
-71.1,0.0,0.1,25.1,0,0,0
-71.2,0.0,0.0,24.7,0,0,0
-69.5,0.0,0.0,24.5,0,0,0
-67.1,0.0,0.0,24.5,0,0,0
-63.2,9.8,0.0,25.6,454,46,124
-57.4,22.5,0.0,27.4,709,72,344
-49.2,34.3,0.1,29.3,848,83,560
-37.0,44.3,0.3,31.0,894,103,727
-19.1,51.2,0.5,32.5,888,128,821
3.1,53.3,0.6,33.5,880,139,844
24.5,49.7,0.6,34.4,857,137,791
40.6,41.7,0.6,34.8,860,107,679
52.0,31.1,0.6,34.6,820,79,503
59.3,19.0,0.9,33.6,501,121,284
64.3,6.2,0.9,32.3,0,28,28
68.1,0.0,0.6,31.5,0,0,0
70.2,0.0,0.3,30.7,0,0,0
71.3,0.0,0.2,29.8,0,0,0
70.5,0.0,0.1,29.0,0,0,0
66.5,0.0,0.1,28.2,0,0,0
51.1,0.0,0.1,27.3,0,0,0
-11.3,0.0,0.1,26.6,0,0,0
-58.1,0.0,0.1,25.9,0,0,0
-68.4,0.0,0.3,25.1,0,0,0
-71.2,0.0,0.4,24.7,0,0,0
-71.2,0.0,0.1,24.3,0,0,0
-69.6,0.0,0.1,24.0,0,0,0
-67.2,0.0,0.0,24.0,0,0,0
-63.3,9.8,0.1,24.9,226,64,103
-57.5,22.5,0.2,26.4,434,125,291
-49.3,34.2,0.3,28.0,597,160,496
-37.1,44.3,0.5,29.6,631,207,648
-19.2,51.3,0.6,31.0,677,235,763
3.0,53.4,0.9,31.9,613,268,760
24.4,49.8,0.7,32.6,716,210,757
40.6,41.9,0.7,32.9,669,186,633
52.0,31.2,0.7,32.8,633,132,460
59.3,19.2,0.7,32.0,385,128,254
64.4,6.3,0.7,30.8,0,30,30
68.1,0.0,0.5,30.2,0,0,0
70.3,0.0,0.3,29.5,0,0,0
71.3,0.0,0.1,28.9,0,0,0
70.6,0.0,0.1,28.2,0,0,0
67.0,0.0,0.1,27.6,0,0,0
51.5,0.0,0.1,26.9,0,0,0
-10.6,0.0,0.1,26.5,0,0,0
-58.2,0.0,0.1,26.0,0,0,0
-68.5,0.0,0.3,25.5,0,0,0
-71.3,0.0,0.3,25.3,0,0,0
-71.3,0.0,0.1,25.1,0,0,0
-70.1,0.0,0.1,24.9,0,0,0
-67.3,0.0,0.1,24.9,0,0,0
-63.3,9.7,0.1,25.6,65,64,75
-57.6,22.4,0.2,26.9,282,151,259
-49.4,34.2,0.3,28.4,343,233,426
-37.2,44.3,0.5,29.5,228,352,511
-19.4,51.4,0.6,30.7,376,349,643
2.6,53.5,0.7,31.4,252,389,592
24.4,50.0,0.9,31.4,34,340,366
40.6,42.0,0.9,31.3,32,289,310
