Az,hs,FF,Ta,G_Bn,G_Dh,G_Gh
-33.5,0.0,1.0,26.0,0,0,0
-68.4,0.0,0.6,25.8,0,0,0
-76.2,0.0,0.5,25.6,0,0,0
-76.4,0.0,0.9,25.6,0,0,0
-75.0,0.0,0.9,25.5,0,0,0
-72.2,0.0,1.3,25.4,0,0,0
-68.5,0.0,0.8,25.4,0,0,0
-64.2,3.1,1.8,25.6,0,6,6
-58.1,15.5,1.2,25.8,0,18,18
-50.0,27.0,3.3,26.3,0,65,65
-38.4,37.0,2.2,27.7,9,211,216
-23.2,44.3,1.8,28.8,12,265,273
-3.6,47.7,2.0,30.2,79,353,411
16.1,46.2,2.4,30.7,19,250,264
33.2,40.2,1.6,31.5,135,311,398
46.1,31.1,2.8,31.3,30,239,254
55.2,20.1,1.5,31.3,8,131,133
62.1,8.0,1.8,30.6,0,34,34
67.1,0.0,1.2,29.9,0,0,0
71.1,0.0,1.3,29.2,0,0,0
74.1,0.0,1.5,28.6,0,0,0
76.1,0.0,0.7,27.9,0,0,0
76.5,0.0,0.5,27.3,0,0,0
73.3,0.0,0.5,26.6,0,0,0
-35.2,0.0,0.4,25.8,0,0,0
-68.5,0.0,1.6,25.0,0,0,0
-76.3,0.0,3.3,24.2,0,0,0
-76.5,0.0,2.4,23.7,0,0,0
-75.1,0.0,2.0,23.5,0,0,0
-72.3,0.0,1.2,23.1,0,0,0
-68.6,0.0,1.5,22.7,0,0,0
-64.2,3.0,0.5,22.9,0,9,9
-58.2,15.5,0.9,24.7,180,111,159
-50.1,27.0,1.2,26.9,423,164,356
-38.5,37.0,1.8,29.0,477,220,507
-23.3,44.4,1.3,30.5,381,307,573
-4.1,47.8,2.8,31.5,505,282,656
16.0,46.3,3.3,32.5,343,339,588
33.1,40.3,2.0,32.4,127,311,394
46.0,31.2,3.0,31.6,88,254,300
55.2,20.2,2.2,31.2,277,134,230
62.1,8.1,2.4,29.9,148,54,74
67.2,0.0,0.9,28.7,0,0,0
71.1,0.0,0.5,27.8,0,0,0
74.1,0.0,0.3,27.0,0,0,0
76.2,0.0,0.1,26.2,0,0,0
76.6,0.0,0.1,25.3,0,0,0
73.5,0.0,0.0,24.5,0,0,0
-36.6,0.0,0.0,23.9,0,0,0
-69.0,0.0,0.1,23.4,0,0,0
-76.4,0.0,0.5,22.5,0,0,0
-76.5,0.0,0.3,22.1,0,0,0
-75.2,0.0,0.3,21.6,0,0,0
-72.4,0.0,0.2,21.3,0,0,0
