Az,hs,FF,Ta,G_Bn,G_Dh,G_Gh
-0.6,0.0,0.4,27.9,0,0,0
-46.4,0.0,0.4,27.4,0,0,0
-62.3,0.0,0.3,26.8,0,0,0
-67.5,0.0,0.4,26.6,0,0,0
-69.2,0.0,0.4,26.3,0,0,0
-69.0,0.0,0.4,26.1,0,0,0
-67.2,0.0,0.3,26.1,0,0,0
-64.2,9.1,0.4,26.6,159,60,85
-59.4,22.2,0.4,27.7,461,130,304
-52.2,34.4,0.5,28.6,314,256,433
-41.1,45.2,0.5,29.7,543,261,646
-23.5,53.2,0.5,30.5,387,357,667
-0.2,56.4,0.5,31.0,294,397,643
23.1,53.4,0.5,30.9,29,350,373
40.4,45.5,0.5,30.8,25,321,339
52.0,34.8,0.7,30.5,42,261,285
59.3,22.5,0.5,30.0,0,102,102
64.1,9.5,0.7,29.4,0,10,10
67.2,0.0,0.5,28.8,0,1,1
69.0,0.0,0.5,28.4,0,0,0
69.2,0.0,0.5,27.9,0,0,0
67.5,0.0,0.4,27.5,0,0,0
62.5,0.0,0.4,27.0,0,0,0
47.3,0.0,0.3,26.6,0,0,0
-1.3,0.0,0.3,26.2,0,0,0
-46.4,0.0,0.5,25.9,0,0,0
-62.4,0.0,0.7,25.5,0,0,0
-67.5,0.0,0.5,25.3,0,0,0
-69.3,0.0,0.7,25.1,0,0,0
-69.1,0.0,0.5,25.0,0,0,0
-67.3,0.0,0.7,25.0,0,0,0
-64.3,9.1,0.5,25.5,58,63,73
-59.4,22.1,0.5,26.4,101,175,213
-52.3,34.4,0.5,27.5,180,296,398
-41.2,45.2,0.5,28.4,158,362,474
-24.0,53.2,0.4,28.9,84,381,448
-0.3,56.4,0.5,29.5,126,418,523
23.0,53.5,0.5,29.9,136,416,525
40.4,45.6,0.5,30.1,143,361,464
52.1,34.9,0.5,30.0,83,271,319
59.3,22.7,0.5,29.8,300,164,279
64.2,9.6,0.5,29.4,398,74,141
67.2,0.0,0.4,28.7,0,1,1
69.0,0.0,0.3,28.2,0,0,0
69.3,0.0,0.3,27.7,0,0,0
68.0,0.0,0.2,27.1,0,0,0
62.6,0.0,0.2,26.6,0,0,0
47.5,0.0,0.1,26.1,0,0,0
-1.6,0.0,0.0,25.6,0,0,0
-46.4,0.0,0.0,25.2,0,0,0
-62.4,0.0,0.1,24.7,0,0,0
-67.6,0.0,0.0,24.5,0,0,0
-69.3,0.0,0.0,24.2,0,0,0
-69.1,0.0,0.0,24.1,0,0,0
-67.3,0.0,0.0,24.1,0,0,0
-64.3,9.0,0.0,24.9,423,44,110
-59.5,22.0,0.0,26.1,647,84,327
-52.4,34.3,0.1,27.5,741,117,535
-41.3,45.2,0.3,28.8,756,164,700
-24.1,53.3,0.5,30.0,763,198,809
-0.4,56.5,0.7,30.9,783,201,853
22.6,53.6,0.7,31.5,762,200,813
40.4,45.8,0.7,31.5,745,171,705
52.1,35.0,0.7,31.4,712,130,538
59.3,22.8,1.0,31.3,630,91,335
64.2,9.8,1.0,30.4,334,60,117
67.2,0.0,0.7,29.5,0,0,0
69.1,0.0,0.3,29.1,0,0,0
69.3,0.0,0.2,28.7,0,0,0
68.1,0.0,0.1,28.3,0,0,0
63.1,0.0,0.0,27.9,0,0,0
48.2,0.0,0.1,27.5,0,0,0
-2.3,0.0,0.3,27.2,0,0,0
-46.5,0.0,0.3,26.9,0,0,0
-62.5,0.0,0.3,26.6,0,0,0
-68.1,0.0,0.4,26.4,0,0,0
-69.4,0.0,0.4,26.3,0,0,0
-69.2,0.0,0.4,26.1,0,0,0
-67.4,0.0,0.3,26.1,0,0,0
-64.4,8.9,0.2,26.2,0,15,15
-59.6,22.0,0.2,26.8,1,130,131
-52.5,34.3,0.2,27.1,0,157,157
-41.4,45.2,0.2,27.1,0,82,82
-24.3,53.3,0.2,27.5,8,213,219
-0.6,56.6,0.3,28.2,93,382,459
22.5,53.8,0.2,28.4,11,267,276
40.4,45.9,0.2,28.6,12,274,283
52.1,35.2,0.2,28.7,23,249,262
59.3,22.9,0.2,28.3,17,155,161
64.2,9.9,0.2,28.3,0,54,54
67.3,0.0,0.2,28.1,0,0,0
69.2,0.0,0.2,27.7,0,0,0
69.4,0.0,0.2,27.3,0,0,0
68.2,0.0,0.2,26.9,0,0,0
63.3,0.0,0.2,26.5,0,0,0
48.4,0.0,0.2,26.1,0,0,0
-2.6,0.0,0.0,25.8,0,0,0
-46.5,0.0,0.1,25.5,0,0,0
-62.6,0.0,0.3,25.1,0,0,0
-68.1,0.0,0.2,25.0,0,0,0
-69.5,0.0,0.0,24.8,0,0,0
-69.3,0.0,0.0,24.7,0,0,0
-67.5,0.0,0.0,24.7,0,0,0
-64.5,8.8,0.1,25.3,297,51,97
-60.1,21.9,0.2,26.6,640,106,345
-52.6,34.3,0.3,28.1,788,142,586
-41.5,45.2,0.4,29.1,549,259,648
-24.4,53.4,0.7,29.8,341,379,652
-1.1,56.7,0.8,30.1,184,419,573
22.5,53.9,1.0,30.2,96,390,467
40.4,46.0,1.0,29.8,8,233,239
52.1,35.3,1.0,29.4,9,213,218
59.4,23.1,1.1,28.9,1,136,137
64.3,10.0,1.1,28.4,0,60,60
67.3,0.0,0.8,27.8,0,0,0
69.2,0.0,0.4,27.3,0,0,0
69.5,0.0,0.2,26.8,0,0,0
68.3,0.0,0.2,26.4,0,0,0
63.4,0.0,0.1,25.9,0,0,0
49.1,0.0,0.2,25.4,0,0,0
-3.3,0.0,0.2,24.9,0,0,0
-46.5,0.0,0.2,24.4,0,0,0
-63.1,0.0,0.5,23.9,0,0,0
-68.2,0.0,0.5,23.6,0,0,0
-69.6,0.0,0.2,23.5,0,0,0
-69.3,0.0,0.2,23.2,0,0,0
-67.5,0.0,0.2,23.2,0,0,0
-64.6,8.8,0.2,23.8,268,56,97
-60.2,21.9,0.3,25.0,547,101,304
-53.1,34.2,0.5,26.4,653,147,514
-42.1,45.2,0.8,27.7,724,178,691
-24.5,53.4,1.1,28.9,706,227,794
-1.2,56.8,1.4,29.8,760,214,850
22.4,54.0,1.6,30.4,751,207,815
40.4,46.2,1.8,30.7,769,163,718
52.1,35.4,1.6,30.7,730,129,552
59.4,23.2,1.4,30.2,600,98,334
64.3,10.2,1.1,29.4,359,53,117
67.4,0.0,0.8,28.4,0,0,0
69.3,0.0,0.4,28.0,0,0,0
69.6,0.0,0.2,27.5,0,0,0
68.4,0.0,0.1,27.1,0,0,0
63.6,0.0,0.0,26.6,0,0,0
49.4,0.0,0.0,26.2,0,0,0
-3.6,0.0,0.2,25.9,0,0,0
-47.0,0.0,0.1,25.6,0,0,0
-63.2,0.0,0.1,25.3,0,0,0
-68.3,0.0,0.2,25.2,0,0,0
-70.0,0.0,0.2,25.0,0,0,0
-69.4,0.0,0.1,24.9,0,0,0
-68.0,0.0,0.1,25.0,0,0,0
-65.0,8.7,0.1,25.2,0,37,37
-60.3,21.8,0.1,25.8,38,158,172
-53.2,34.2,0.1,26.8,208,265,382
-42.2,45.2,0.1,28.2,792,182,744
-25.1,53.5,0.1,29.6,840,254,929
-1.3,57.0,0.0,29.8,122,405,507
22.4,54.2,0.1,29.9,82,385,451
40.4,46.3,0.1,29.5,17,216,229
52.2,35.6,0.0,28.9,0,46,46
59.5,23.3,0.1,28.3,0,29,29
64.4,10.3,0.1,27.8,0,11,11
67.5,0.0,0.1,27.3,0,0,0
69.4,0.0,0.2,27.1,0,0,0
70.1,0.0,0.2,26.9,0,0,0
68.5,0.0,0.2,26.7,0,0,0
64.1,0.0,0.2,26.4,0,0,0
50.1,0.0,0.2,26.3,0,0,0
-4.3,0.0,0.1,25.7,0,0,0
-47.1,0.0,0.1,25.7,0,0,0
-63.3,0.0,0.2,25.4,0,0,0
-68.4,0.0,0.1,25.2,0,0,0
-70.1,0.0,0.0,25.1,0,0,0
-69.5,0.0,0.0,25.0,0,0,0
-68.1,0.0,0.0,25.1,0,0,0
-65.1,8.6,0.0,25.4,0,44,44
-60.4,21.8,0.0,25.9,7,136,139
-53.3,34.2,0.0,25.9,0,48,48
-42.3,45.2,0.0,26.4,10,241,248
-25.2,53.6,0.1,26.8,7,251,256
-1.4,57.1,0.2,27.5,51,412,455
22.4,54.3,0.2,27.8,45,332,369
40.4,46.5,0.2,28.6,488,300,654
52.2,35.7,0.1,28.9,462,232,502
59.5,23.5,0.2,28.4,0,32,32
64.4,10.4,0.2,28.1,0,50,50
67.5,0.0,0.2,27.7,0,1,1
69.4,0.0,0.2,27.3,0,0,0
70.1,0.0,0.2,26.9,0,0,0
69.0,0.0,0.2,26.5,0,0,0
64.3,0.0,0.2,26.1,0,0,0
50.3,0.0,0.3,25.7,0,0,0
-5.0,0.0,0.3,25.3,0,0,0
-47.2,0.0,0.3,24.8,0,0,0
-63.4,0.0,0.3,24.3,0,0,0
-68.5,0.0,0.3,24.0,0,0,0
-70.2,0.0,0.3,23.7,0,0,0
-70.0,0.0,0.3,23.6,0,0,0
-68.2,0.0,0.3,23.8,0,0,0
-65.2,8.6,0.3,24.1,98,64,79
-60.5,21.8,0.3,24.9,130,175,223
-53.5,34.2,0.3,25.7,104,290,349
-42.5,45.2,0.3,26.6,159,360,472
-25.4,53.6,0.4,27.2,135,401,510
-1.5,57.2,0.3,27.7,109,418,509
22.3,54.5,0.3,28.0,132,406,514
40.4,46.7,0.3,28.2,118,381,467
52.3,35.9,0.3,28.2,124,282,354
59.6,23.6,0.3,27.8,32,181,193
64.5,10.5,0.4,27.3,8,68,70
67.6,0.0,0.4,26.7,0,1,1
69.5,0.0,0.4,26.2,0,0,0
70.2,0.0,0.4,25.8,0,0,0
69.1,0.0,0.4,25.4,0,0,0
64.5,0.0,0.4,25.0,0,0,0
51.0,0.0,0.4,24.5,0,0,0
-5.3,0.0,0.1,24.2,0,0,0
-47.3,0.0,0.2,23.9,0,0,0
-63.5,0.0,0.4,23.6,0,0,0
-69.0,0.0,0.3,23.7,0,0,0
-70.3,0.0,0.0,23.6,0,0,0
-70.1,0.0,0.1,23.4,0,0,0
