Az,hs,FF,Ta,G_Bn,G_Dh,G_Gh
-171.6,0.0,1.3,14.6,0,0,0
-141.6,0.0,0.9,14.8,0,0,0
-115.4,0.0,0.7,14.4,0,0,0
-100.5,0.0,1.0,14.3,0,0,0
-90.1,0.0,0.9,14.1,0,0,0
-81.2,0.0,1.2,14.0,0,0,0
-72.6,0.0,0.9,13.9,0,0,0
-64.2,0.0,1.8,13.9,0,0,0
-54.6,5.0,1.2,14.2,52,31,36
-44.1,13.9,3.3,14.8,36,97,106
-31.5,21.2,2.4,15.4,52,159,178
-17.5,26.1,2.3,16.0,72,208,239
-2.3,28.1,2.7,16.5,92,232,275
13.0,27.1,3.1,16.8,79,218,254
27.4,23.0,2.4,16.9,31,174,186
40.3,16.4,3.9,16.7,16,115,119
51.4,8.0,2.4,16.4,0,46,46
61.3,0.0,3.1,15.9,0,1,1
70.2,0.0,2.1,15.3,0,0,0
78.4,0.0,2.1,15.1,0,0,0
87.2,0.0,2.3,14.6,0,0,0
97.1,0.0,1.2,14.2,0,0,0
110.1,0.0,0.8,13.7,0,0,0
131.4,0.0,0.7,13.3,0,0,0
-171.4,0.0,0.8,12.9,0,0,0
-142.2,0.0,2.3,12.5,0,0,0
-115.6,0.0,3.6,12.0,0,0,0
-100.6,0.0,3.1,11.7,0,0,0
-90.2,0.0,3.9,11.5,0,0,0
-81.3,0.0,2.8,11.3,0,0,0
-73.1,0.0,3.3,11.1,0,0,0
-64.3,0.0,1.7,11.1,0,0,0
-55.0,5.0,2.0,11.5,127,31,42
-44.2,13.9,1.7,12.2,100,96,120
-32.0,21.2,2.0,13.2,387,134,274
-17.6,26.1,1.2,14.1,430,158,348
-2.4,28.2,2.3,14.8,458,162,378
12.6,27.2,2.7,15.2,312,186,328
27.3,23.1,1.7,15.3,369,141,286
40.3,16.5,2.4,15.2,295,102,186
51.4,8.1,1.8,14.7,214,50,80
61.3,0.0,2.1,14.0,0,1,1
70.2,0.0,1.0,13.8,0,0,0
78.4,0.0,0.7,13.5,0,0,0
87.2,0.0,0.5,13.2,0,0,0
97.1,0.0,0.3,12.9,0,0,0
110.1,0.0,0.2,12.6,0,0,0
131.4,0.0,0.1,12.4,0,0,0
-171.2,0.0,0.1,12.2,0,0,0
-142.4,0.0,0.1,12.1,0,0,0
-116.1,0.0,0.2,11.9,0,0,0
-101.1,0.0,0.1,11.8,0,0,0
-90.3,0.0,0.2,11.7,0,0,0
-81.4,0.0,0.2,11.7,0,0,0
-73.1,0.0,0.2,11.6,0,0,0
-64.4,0.0,0.3,11.6,0,0,0
-55.1,5.0,0.4,12.1,26,32,34
-44.3,13.9,0.5,12.9,123,105,134
-32.1,21.2,1.2,13.8,106,171,209
-18.0,26.2,1.2,14.5,97,215,258
-2.4,28.3,2.0,15.0,85,231,271
12.5,27.3,1.3,15.4,105,227,275
27.3,23.2,0.7,15.7,120,191,239
40.3,16.7,1.1,15.6,126,128,165
51.4,8.3,2.7,15.2,35,56,61
61.3,0.0,4.9,14.6,0,1,1
70.2,0.0,4.6,14.3,0,0,0
78.4,0.0,2.8,14.1,0,0,0
87.2,0.0,2.8,13.8,0,0,0
97.1,0.0,3.3,13.5,0,0,0
110.1,0.0,2.8,13.2,0,0,0
131.3,0.0,3.1,12.7,0,0,0
-170.6,0.0,2.8,12.7,0,0,0
-143.1,0.0,2.7,12.4,0,0,0
-116.3,0.0,3.3,11.9,0,0,0
-101.2,0.0,4.1,11.1,0,0,0
-90.4,0.0,5.2,11.4,0,0,0
-81.5,0.0,3.3,11.6,0,0,0
-73.2,0.0,2.0,11.5,0,0,0
-64.4,0.0,1.5,11.4,0,0,0
-55.2,5.0,1.5,11.6,0,20,20
-44.4,14.0,0.9,12.4,165,95,135
-32.2,21.3,1.2,12.9,36,153,166
-18.1,26.3,1.0,13.2,5,158,160
-2.5,28.4,2.1,13.2,0,117,117
12.5,27.4,0.9,13.4,6,171,174
27.3,23.4,0.6,13.5,5,146,148
40.2,16.8,0.6,13.3,0,63,63
51.4,8.4,0.8,13.1,98,66,80
61.3,0.0,1.2,12.9,0,2,2
70.2,0.0,1.3,12.6,0,0,0
78.5,0.0,1.8,12.2,0,0,0
87.2,0.0,1.0,11.8,0,0,0
97.1,0.0,1.7,11.4,0,0,0
110.1,0.0,1.5,11.0,0,0,0
131.3,0.0,1.3,10.6,0,0,0
-170.4,0.0,3.1,10.3,0,0,0
-143.3,0.0,4.1,10.0,0,0,0
-116.5,0.0,3.1,9.7,0,0,0
-101.4,0.0,2.1,9.5,0,0,0
-90.5,0.0,3.9,9.4,0,0,0
-81.6,0.0,3.1,9.2,0,0,0
-73.3,0.0,3.9,9.1,0,0,0
-64.5,0.0,2.4,9.1,0,0,0
-55.3,5.0,2.1,9.7,245,30,52
-44.5,14.0,1.5,10.7,431,69,173
-32.3,21.3,1.0,11.8,448,118,281
-18.2,26.3,0.9,12.8,636,115,397
-2.6,28.5,0.9,13.6,610,124,415
12.4,27.5,1.8,14.1,524,156,398
27.2,23.5,1.5,13.9,101,173,214
40.2,17.0,1.5,13.4,0,100,100
51.4,8.5,2.4,12.7,0,9,9
61.3,0.0,3.6,12.2,0,1,1
70.2,0.0,3.3,12.0,0,0,0
78.5,0.0,1.7,11.7,0,0,0
87.3,0.0,3.1,11.5,0,0,0
97.2,0.0,3.1,11.3,0,0,0
110.2,0.0,2.4,11.1,0,0,0
131.3,0.0,2.8,10.9,0,0,0
-170.2,0.0,4.9,9.5,0,0,0
-144.0,0.0,5.1,10.3,0,0,0
-117.1,0.0,4.9,10.2,0,0,0
-101.5,0.0,4.4,9.8,0,0,0
-91.1,0.0,4.1,9.5,0,0,0
-82.1,0.0,3.9,9.9,0,0,0
-73.4,0.0,4.1,9.8,0,0,0
-65.0,0.0,3.9,9.8,0,0,0
-55.4,5.0,3.3,9.9,0,5,5
-44.6,14.0,2.0,10.0,0,16,16
-32.4,21.4,2.3,10.1,0,32,32
-18.3,26.4,3.1,10.2,0,34,34
-3.0,28.6,4.4,10.3,0,52,52
12.4,27.6,5.1,11.2,155,210,282
27.2,23.6,5.5,11.7,110,194,238
40.2,17.1,4.4,11.8,106,139,170
51.4,8.7,2.3,11.7,72,62,73
61.3,0.0,0.9,11.5,0,2,2
70.2,0.0,0.9,11.1,0,0,0
78.5,0.0,0.5,11.0,0,0,0
87.3,0.0,0.7,10.7,0,0,0
97.2,0.0,0.4,10.7,0,0,0
110.2,0.0,0.4,10.5,0,0,0
131.3,0.0,0.3,10.4,0,0,0
-170.1,0.0,0.3,10.0,0,0,0
-144.3,0.0,0.2,9.4,0,0,0
-117.3,0.0,0.2,9.8,0,0,0
-102.1,0.0,0.3,9.8,0,0,0
-91.2,0.0,0.4,9.7,0,0,0
-82.2,0.0,0.3,9.7,0,0,0
-73.5,0.0,0.3,9.7,0,0,0
-65.1,0.0,0.3,9.7,0,0,0
-55.5,5.0,0.3,9.9,0,11,11
-45.1,14.1,0.3,10.0,0,20,20
-32.5,21.4,0.4,10.2,0,28,28
-18.4,26.5,0.5,10.6,0,96,96
-3.1,28.7,0.4,10.7,0,51,51
12.3,27.8,0.8,11.9,297,209,347
27.2,23.8,0.9,12.6,408,143,307
40.2,17.3,0.5,12.9,441,96,226
51.4,8.8,0.7,12.9,389,72,132
61.3,0.0,0.9,12.6,0,2,2
70.2,0.0,1.2,12.2,0,0,0
78.5,0.0,1.7,11.7,0,0,0
