Az,hs,FF,Ta,G_Bn,G_Dh,G_Gh
-162.2,0.0,3.2,0.9,0,0,0
-135.2,0.0,2.7,0.8,0,0,0
-115.5,0.0,2.4,0.6,0,0,0
-101.2,0.0,2.7,0.5,0,0,0
-89.3,0.0,2.7,0.4,0,0,0
-78.4,0.0,2.9,0.4,0,0,0
-68.2,0.0,2.5,0.3,0,0,0
-57.5,0.0,3.2,0.3,0,0,0
-46.3,5.1,2.9,0.7,0,20,20
-34.1,11.6,4.5,1.1,0,38,38
-20.4,16.2,3.8,1.7,0,72,72
-6.3,18.6,3.8,2.2,0,101,101
8.0,18.4,4.3,2.6,0,96,96
22.1,15.8,4.5,3.0,28,109,117
35.3,11.0,4.0,2.9,0,52,52
47.4,4.3,5.3,2.5,0,18,18
58.6,0.0,4.3,2.2,0,0,0
69.3,0.0,4.8,1.9,0,0,0
79.5,0.0,4.0,1.5,0,0,0
90.4,0.0,4.0,1.2,0,0,0
102.4,0.0,4.0,0.9,0,0,0
117.4,0.0,3.2,0.6,0,0,0
137.5,0.0,2.7,0.3,0,0,0
165.4,0.0,2.5,0.0,0,0,0
-162.3,0.0,2.7,-0.3,0,0,0
-135.3,0.0,3.8,-0.6,0,0,0
-116.0,0.0,5.0,-1.0,0,0,0
-101.3,0.0,4.8,-1.1,0,0,0
-89.3,0.0,5.5,-1.3,0,0,0
-78.5,0.0,4.8,-1.4,0,0,0
-68.3,0.0,5.3,-1.5,0,0,0
-57.5,0.0,3.5,-1.4,0,0,0
-46.3,5.1,3.8,-0.1,356,32,64
-34.2,11.6,3.7,1.6,543,51,161
-20.5,16.3,4.0,3.6,716,64,265
-6.4,18.6,3.2,5.0,782,48,298
7.6,18.5,4.3,6.0,647,89,295
22.1,15.9,4.8,5.8,202,109,164
35.3,11.1,3.7,5.0,20,73,77
47.4,4.4,4.3,3.8,0,10,10
58.6,0.0,3.7,2.8,0,0,0
69.3,0.0,4.0,2.6,0,0,0
79.5,0.0,3.0,2.4,0,0,0
90.4,0.0,2.5,2.3,0,0,0
102.4,0.0,2.2,2.1,0,0,0
117.4,0.0,1.9,1.9,0,0,0
137.4,0.0,1.4,1.7,0,0,0
165.3,0.0,0.8,1.5,0,0,0
-162.5,0.0,0.6,1.2,0,0,0
-135.5,0.0,0.5,0.9,0,0,0
-116.1,0.0,0.9,0.7,0,0,0
-101.4,0.0,0.6,0.5,0,0,0
-89.4,0.0,0.7,0.4,0,0,0
-79.0,0.0,0.5,0.3,0,0,0
-68.4,0.0,0.7,0.2,0,0,0
-58.0,0.0,0.9,0.2,0,0,0
-46.4,5.2,1.1,1.4,199,37,54
-34.2,11.7,1.2,3.1,357,67,139
-20.6,16.3,2.0,5.2,624,81,256
-6.4,18.7,2.0,6.5,403,122,252
7.5,18.6,2.3,6.7,99,133,165
22.1,16.0,2.1,6.9,246,107,175
35.2,11.2,1.6,6.6,330,61,126
47.4,4.6,2.0,5.8,177,33,47
58.5,0.0,2.8,4.7,0,0,0
69.3,0.0,4.0,4.5,0,0,0
79.5,0.0,4.0,4.3,0,0,0
90.4,0.0,3.2,4.0,0,0,0
102.4,0.0,3.2,3.8,0,0,0
117.3,0.0,3.7,3.6,0,0,0
137.4,0.0,3.5,3.3,0,0,0
165.2,0.0,3.7,3.1,0,0,0
-163.0,0.0,3.5,2.9,0,0,0
-136.0,0.0,3.7,2.7,0,0,0
-116.3,0.0,4.0,2.5,0,0,0
-101.5,0.0,4.8,2.4,0,0,0
-89.5,0.0,5.9,2.4,0,0,0
-79.1,0.0,4.5,2.3,0,0,0
-68.5,0.0,3.5,2.3,0,0,0
-58.1,0.0,3.0,2.3,0,0,0
-46.5,5.2,3.2,3.5,273,30,55
-34.3,11.7,2.7,5.3,491,55,154
-21.1,16.4,2.9,7.4,728,68,273
-6.5,18.8,2.5,8.9,697,66,291
7.5,18.7,3.5,9.6,487,99,256
22.0,16.2,2.5,9.7,212,117,176
35.2,11.3,2.2,8.7,0,54,54
47.4,4.7,2.2,7.5,0,5,5
58.5,0.0,2.3,6.6,0,0,0
69.3,0.0,2.7,6.5,0,0,0
79.5,0.0,2.8,6.4,0,0,0
90.4,0.0,3.0,6.3,0,0,0
102.4,0.0,2.4,6.2,0,0,0
117.3,0.0,2.9,6.1,0,0,0
137.3,0.0,2.8,6.0,0,0,0
165.0,0.0,2.8,5.9,0,0,0
-163.2,0.0,4.0,5.6,0,0,0
-136.2,0.0,4.8,5.4,0,0,0
-116.4,0.0,4.0,5.2,0,0,0
-102.0,0.0,3.5,5.1,0,0,0
-90.0,0.0,5.0,5.0,0,0,0
-79.2,0.0,4.3,4.9,0,0,0
-68.6,0.0,5.3,4.9,0,0,0
-58.2,0.0,4.0,4.9,0,0,0
-46.6,5.2,3.7,5.6,0,28,28
-34.4,11.8,3.3,6.8,72,81,95
-21.1,16.5,2.8,8.2,162,120,166
-6.6,18.9,2.7,9.7,381,108,231
7.4,18.8,2.7,10.8,410,111,243
21.6,16.3,3.3,11.6,607,82,252
35.2,11.5,3.2,11.7,609,42,163
47.3,4.9,3.2,11.0,370,28,59
58.5,0.0,4.0,9.9,0,0,0
69.3,0.0,4.8,9.8,0,0,0
79.5,0.0,5.0,9.6,0,0,0
90.4,0.0,3.3,9.4,0,0,0
102.4,0.0,4.8,9.2,0,0,0
117.3,0.0,4.8,9.0,0,0,0
137.3,0.0,4.3,8.8,0,0,0
164.5,0.0,4.8,8.6,0,0,0
-163.4,0.0,6.0,8.4,0,0,0
-136.3,0.0,6.5,8.2,0,0,0
-116.5,0.0,6.5,8.0,0,0,0
-102.1,0.0,6.3,8.0,0,0,0
-90.1,0.0,6.0,8.0,0,0,0
-79.3,0.0,5.9,8.0,0,0,0
-69.1,0.0,6.0,8.0,0,0,0
-58.3,0.0,6.0,8.1,0,0,0
-47.1,5.3,5.9,8.2,0,6,6
-34.5,11.8,4.5,8.5,0,14,14
-21.2,16.5,5.0,9.6,42,110,122
-7.0,19.0,5.7,10.3,8,118,120
7.3,19.0,6.5,11.4,268,138,225
21.5,16.4,7.1,12.3,505,93,236
35.2,11.6,7.4,11.5,637,62,191
47.3,5.0,6.9,12.5,398,28,63
58.5,0.0,5.5,11.9,0,0,0
69.3,0.0,3.5,11.5,0,0,0
79.5,0.0,3.5,11.0,0,0,0
90.4,0.0,2.8,10.6,0,0,0
102.4,0.0,2.9,10.2,0,0,0
117.3,0.0,2.3,9.7,0,0,0
137.2,0.0,2.2,9.3,0,0,0
164.4,0.0,1.8,8.9,0,0,0
-163.5,0.0,1.9,7.7,0,0,0
-136.5,0.0,1.4,6.5,0,0,0
-117.1,0.0,1.5,5.3,0,0,0
-102.3,0.0,1.7,4.6,0,0,0
-90.3,0.0,1.9,3.9,0,0,0
-79.4,0.0,1.5,3.4,0,0,0
-69.2,0.0,1.3,3.0,0,0,0
-58.4,0.0,1.5,2.9,0,0,0
-47.2,5.3,1.4,3.8,191,43,61
-34.6,11.9,1.4,4.8,217,77,122
-21.3,16.6,1.5,5.7,174,129,179
-7.1,19.1,1.7,6.3,180,142,201
7.3,19.1,1.3,7.0,457,98,247
21.5,16.6,1.9,7.2,386,97,207
35.1,11.8,2.0,7.4,558,82,196
47.3,5.2,1.5,6.8,547,26,75
58.5,0.0,1.8,5.9,0,0,0
69.3,0.0,2.0,5.2,0,0,0
79.5,0.0,2.2,4.6,0,0,0
90.4,0.0,2.4,3.9,0,0,0
102.4,0.0,2.3,3.2,0,0,0
117.3,0.0,2.5,2.6,0,0,0
137.2,0.0,2.4,1.9,0,0,0
164.3,0.0,2.4,1.2,0,0,0
-164.1,0.0,2.2,1.0,0,0,0
-137.1,0.0,2.3,0.7,0,0,0
-117.2,0.0,2.5,0.5,0,0,0
-102.4,0.0,2.0,0.3,0,0,0
-90.4,0.0,1.6,0.2,0,0,0
-79.5,0.0,1.0,0.1,0,0,0
-69.3,0.0,0.6,0.1,0,0,0
-58.5,0.0,0.8,0.1,0,0,0
-47.3,5.4,1.1,1.7,416,30,68
-35.1,12.0,1.4,3.8,611,44,170
-21.4,16.7,2.2,5.9,725,50,258
-7.2,19.2,2.5,7.5,687,62,288
7.2,19.2,3.2,8.4,646,69,282
21.4,16.7,4.0,8.9,652,56,243
35.1,11.9,3.3,8.7,604,44,169
47.3,5.3,2.3,7.6,340,30,61
58.5,0.0,3.2,6.3,0,0,0
69.3,0.0,3.5,6.0,0,0,0
79.5,0.0,3.3,5.6,0,0,0
90.4,0.0,3.0,5.3,0,0,0
102.5,0.0,3.2,4.9,0,0,0
117.3,0.0,4.5,4.6,0,0,0
137.2,0.0,4.8,4.3,0,0,0
164.2,0.0,5.7,3.9,0,0,0
-164.3,0.0,4.8,3.5,0,0,0
-137.2,0.0,5.5,3.1,0,0,0
-117.4,0.0,5.7,2.7,0,0,0
-102.5,0.0,5.5,2.5,0,0,0
-90.5,0.0,5.0,2.3,0,0,0
-80.0,0.0,4.5,2.2,0,0,0
-69.3,0.0,5.5,2.1,0,0,0
-58.6,0.0,5.5,2.1,0,0,0
-47.4,5.4,4.3,3.7,407,30,68
-35.1,12.1,5.0,5.9,662,40,178
-21.5,16.8,5.3,8.0,785,45,273
-7.2,19.4,5.7,9.8,833,48,325
7.2,19.4,4.5,10.9,832,48,324
21.4,16.9,4.0,11.4,772,45,269
35.1,12.1,4.3,11.1,625,43,174
47.3,5.5,3.8,10.0,385,30,67
58.5,0.0,3.8,8.6,0,0,0
69.3,0.0,5.5,8.2,0,0,0
79.6,0.0,6.0,7.7,0,0,0
90.4,0.0,5.7,7.2,0,0,0
102.5,0.0,5.7,6.7,0,0,0
117.3,0.0,5.5,6.2,0,0,0
137.2,0.0,4.8,5.8,0,0,0
164.1,0.0,5.0,5.3,0,0,0
-164.4,0.0,4.8,4.7,0,0,0
-137.4,0.0,6.0,4.1,0,0,0
-117.5,0.0,5.0,3.5,0,0,0
-103.1,0.0,4.0,3.2,0,0,0
-90.6,0.0,4.5,2.9,0,0,0
-80.1,0.0,5.3,2.7,0,0,0
-69.4,0.0,4.8,2.5,0,0,0
-59.1,0.0,4.3,2.4,0,0,0
-47.4,5.5,4.5,2.7,0,19,19
-35.2,12.1,6.0,3.2,0,45,45
