Az,hs,FF,Ta,G_Bn,G_Dh,G_Gh
-156.4,0.0,2.6,-12.9,0,0,0
-133.2,0.0,2.2,-13.1,0,0,0
-115.2,0.0,1.9,-13.4,0,0,0
-100.5,0.0,2.2,-13.6,0,0,0
-88.3,0.0,2.1,-13.7,0,0,0
-77.0,0.0,2.5,-13.8,0,0,0
-65.6,0.0,2.0,-13.9,0,0,0
-54.4,0.0,2.7,-14.0,0,0,0
-42.4,4.2,2.4,-13.3,0,25,25
-29.5,9.6,4.0,-12.4,9,59,61
-16.2,13.2,3.4,-11.6,7,86,88
-2.1,14.6,3.4,-11.0,11,98,101
12.0,13.9,3.6,-10.6,19,97,102
25.5,10.9,4.0,-10.5,9,71,73
38.5,6.0,3.6,-10.9,0,34,34
51.1,0.0,4.8,-11.6,0,1,1
62.4,0.0,3.8,-11.6,0,0,0
73.4,0.0,4.3,-11.6,0,0,0
84.6,0.0,3.4,-11.6,0,0,0
96.6,0.0,3.6,-11.6,0,0,0
110.4,0.0,3.6,-11.6,0,0,0
127.2,0.0,2.7,-11.6,0,0,0
149.0,0.0,2.2,-11.6,0,0,0
175.4,0.0,2.0,-11.6,0,0,0
-156.5,0.0,2.1,-11.5,0,0,0
-133.3,0.0,3.4,-11.4,0,0,0
-115.3,0.0,4.6,-11.2,0,0,0
-100.6,0.0,4.3,-11.1,0,0,0
-88.4,0.0,5.0,-11.0,0,0,0
-77.1,0.0,4.0,-11.0,0,0,0
-66.1,0.0,4.8,-10.9,0,0,0
-54.4,0.0,3.0,-10.8,0,0,0
-42.5,4.2,3.4,-10.0,0,23,23
-29.6,9.6,3.2,-8.8,2,58,59
-16.2,13.2,3.4,-7.7,9,88,90
-2.2,14.7,2.7,-6.8,11,100,103
11.6,13.9,3.8,-6.3,13,95,98
25.5,11.0,4.0,-6.2,5,70,71
38.5,6.1,3.2,-6.6,0,33,33
51.0,0.0,3.8,-7.3,0,1,1
62.3,0.0,3.2,-7.5,0,0,0
73.4,0.0,3.6,-7.7,0,0,0
84.6,0.0,2.5,-7.9,0,0,0
96.5,0.0,2.1,-8.1,0,0,0
110.3,0.0,1.8,-8.2,0,0,0
127.2,0.0,1.4,-8.4,0,0,0
148.6,0.0,1.0,-8.6,0,0,0
175.3,0.0,0.6,-8.9,0,0,0
-157.1,0.0,0.5,-9.2,0,0,0
-133.5,0.0,0.4,-9.7,0,0,0
-115.4,0.0,0.7,-10.2,0,0,0
-101.1,0.0,0.5,-10.5,0,0,0
-88.4,0.0,0.5,-10.7,0,0,0
-77.2,0.0,0.4,-10.9,0,0,0
-66.1,0.0,0.6,-11.0,0,0,0
-54.5,0.0,0.8,-11.1,0,0,0
-42.5,4.2,0.9,-11.2,0,4,4
-30.1,9.7,1.0,-11.3,0,12,12
-16.3,13.3,1.7,-11.3,0,17,17
-2.2,14.8,1.7,-11.4,0,20,20
11.5,14.0,2.1,-11.5,0,19,19
25.4,11.1,1.8,-11.5,0,14,14
38.5,6.2,1.4,-11.4,0,7,7
50.6,0.0,1.7,-11.4,0,1,1
62.3,0.0,2.6,-11.6,0,0,0
73.4,0.0,4.0,-11.8,0,0,0
84.5,0.0,4.0,-11.9,0,0,0
96.5,0.0,3.0,-12.1,0,0,0
110.3,0.0,3.0,-12.3,0,0,0
127.2,0.0,3.6,-12.6,0,0,0
148.5,0.0,3.4,-12.7,0,0,0
175.2,0.0,3.4,-13.2,0,0,0
-157.2,0.0,3.4,-13.1,0,0,0
-134.0,0.0,3.4,-13.5,0,0,0
-115.5,0.0,4.0,-13.9,0,0,0
-101.2,0.0,4.6,-14.3,0,0,0
-88.5,0.0,5.7,-14.2,0,0,0
-77.3,0.0,4.3,-14.4,0,0,0
-66.2,0.0,3.2,-14.5,0,0,0
-55.0,0.0,2.7,-14.6,0,0,0
-43.0,4.2,2.9,-14.7,0,4,4
-30.2,9.7,2.4,-14.7,0,11,11
-16.4,13.4,2.6,-14.8,0,18,18
-2.3,14.9,2.2,-14.8,0,18,18
11.5,14.2,3.2,-14.9,0,18,18
25.4,11.2,2.2,-15.0,0,13,13
38.4,6.3,1.9,-15.1,0,7,7
50.6,0.0,1.8,-15.2,0,1,1
62.3,0.0,2.0,-14.8,0,0,0
73.4,0.0,2.4,-14.4,0,0,0
84.5,0.0,2.5,-14.0,0,0,0
96.5,0.0,2.7,-13.6,0,0,0
110.3,0.0,2.1,-13.2,0,0,0
127.1,0.0,2.6,-12.8,0,0,0
148.4,0.0,2.5,-12.3,0,0,0
175.1,0.0,2.5,-11.9,0,0,0
-157.4,0.0,3.8,-11.6,0,0,0
-134.2,0.0,4.6,-11.3,0,0,0
-116.0,0.0,3.8,-10.9,0,0,0
-101.3,0.0,3.2,-10.7,0,0,0
-89.0,0.0,4.8,-10.5,0,0,0
-77.4,0.0,4.0,-10.4,0,0,0
-66.3,0.0,4.8,-10.3,0,0,0
-55.1,0.0,3.6,-10.2,0,0,0
